∑ΩŒªΩ«,—ˆΩ«,¿‚æµ∫≈,≈ÃŒª,µ„∫≈,±±◊¯±Í,∂´◊¯±Í,∏ﬂ≥Ã,
,,C2,√‚◊Û,T79,954.5369,1007.1482,24.4881,
,,C2,√‚”“,T80,954.536,1007.1483,24.4883,
,,D1,æµ◊Û,T81,955.4304,1007.7783,23.2502,
,,D1,æµ”“,T82,955.4317,1007.7785,23.2504,
,,D2,√‚◊Û,T83,955.3716,1007.7702,23.2928,
,,D2,√‚”“,T84,955.3711,1007.7719,23.2932,
90,85,C1,æµ◊Û,T85,953.6336,1006.9038,24.5468,
,,C1,æµ”“,T86,953.6348,1006.904,24.5474,
,,C2,√‚◊Û,T87,953.6772,1006.9379,24.4922,
,,C2,√‚”“,T88,953.6769,1006.9372,24.4927,
,,D1,æµ◊Û,T89,954.7717,1007.012,23.2501,
,,D1,æµ”“,T90,954.7722,1007.0126,23.2506,
,,D2,√‚◊Û,T91,954.7262,1007.0075,23.2869,
,,D2,√‚”“,T92,954.7258,1007.0082,23.2875,
,75,C1,æµ◊Û,T93,953.8272,1006.8651,24.4778,
,,C1,æµ”“,T94,953.8282,1006.8653,24.4779,
,,C2,√‚◊Û,T95,953.8619,1006.897,24.4151,
,,C2,√‚”“,T96,953.8617,1006.8985,24.4152,
,,D1,æµ◊Û,T97,954.7279,1007.021,23.0101,
,,D1,æµ”“,T98,954.7287,1007.0212,23.0104,
,,D2,√‚◊Û,T99,954.6906,1007.0165,23.0585,
,,D2,√‚”“,T100,954.6902,1007.0175,23.0585,
,65,C1,æµ◊Û,T101,954.0057,1006.8296,24.3756,
,,C1,æµ”“,T102,954.0072,1006.83,24.3754,
,,C2,√‚◊Û,T103,954.0299,1006.8574,24.306,
,,C2,√‚”“,T104,954.0289,1006.8614,24.3069,
,,D1,æµ◊Û,T105,954.6438,1007.0374,22.7819,
,,D1,æµ”“,T106,954.645,1007.038,22.7819,
,,D2,√‚◊Û,T107,954.6162,1007.0333,22.8378,
,,D2,√‚”“,T108,954.6159,1007.0352,22.8381,
,55,C1,æµ◊Û,T109,954.1645,1006.798,24.2427,
,,C1,æµ”“,T110,954.166,1006.7984,24.2427,
,,C2,√‚◊Û,T111,954.1777,1006.8225,24.171,
,,C2,√‚”“,T112,954.1774,1006.8252,24.1712,
,,D1,æµ◊Û,T113,954.5223,1007.0616,22.572,
,,D1,æµ”“,T114,954.5236,1007.0621,22.5722,
,,D2,√‚◊Û,T115,954.504,1007.0605,22.6334,
,,D2,√‚”“,T116,954.5046,1007.059,22.6328,
,45,C1,æµ◊Û,T117,954.2981,1006.7715,24.0846,
,,C1,æµ”“,T118,954.2995,1006.7723,24.0839,
,,C2,√‚◊Û,T119,954.2984,1006.7956,24.0109,
,,C2,√‚”“,T120,954.2977,1006.7977,24.0113,
,,D1,æµ◊Û,T121,954.3671,1007.0926,22.3866,
,,D1,æµ”“,T122,954.368,1007.093,22.3868,
,,D2,√‚◊Û,T123,954.3602,1007.0933,22.4534,
,,D2,√‚”“,T124,954.3603,1007.0933,22.4534,
,35,C1,æµ◊Û,T125,954.4026,1006.7508,23.9039,
,,C1,æµ”“,T126,954.4039,1006.7514,23.9039,
,,C2,√‚◊Û,T127,954.3918,1006.7742,23.8312,
,,C2,√‚”“,T128,954.3915,1006.7743,23.8314,
,25,C1,æµ◊Û,T129,954.4753,1006.7366,23.7085,
,,C1,æµ”“,T130,954.4765,1006.7372,23.7083,
,,C2,√‚◊Û,T131,954.4527,1006.7596,23.6388,
,,C2,√‚”“,T132,954.4522,1006.758,23.6387,
,15,C1,æµ◊Û,T133,954.513,1006.7289,23.5028,
,,C1,æµ”“,T134,954.514,1006.7296,23.5027,
,,C2,√‚◊Û,T135,954.4799,1006.7491,23.4365,
,,C2,√‚”“,T136,954.4796,1006.7483,23.4362,
,5,C1,æµ◊Û,T137,954.5151,1006.7283,23.2938,
,,C1,æµ”“,T138,954.5165,1006.7288,23.2934,
,,C2,√‚◊Û,T139,954.4734,1006.7432,23.2338,
,,C2,√‚”“,T140,954.4729,1006.7457,23.234,
210,85,A1,æµ◊Û,T141,954.7427,1007.2786,24.5532,
,,A1,æµ”“,T142,954.7436,1007.2793,24.5514,
,,A2,√‚◊Û,T143,954.6941,1007.2922,24.4986,
,,A2,√‚”“,T144,954.6944,1007.2917,24.4993,
,,B1,æµ◊Û,T145,953.9608,1006.8747,23.1595,
,,B1,æµ”“,T146,953.9623,1006.8752,23.1589,
,,B2,√‚◊Û,T147,953.8072,1006.7304,23.1381,
,,B2,√‚”“,T148,953.8073,1006.7319,23.1385,
,75,A1,æµ◊Û,T149,954.6124,1007.13,24.4817,
,,A1,æµ”“,T150,954.613,1007.1304,24.4812,
,,A2,√‚◊Û,T151,954.5723,1007.1456,24.4207,
,,A2,√‚”“,T152,954.5727,1007.1456,24.4201,
,,B1,æµ◊Û,T153,953.9978,1006.9167,22.9678,
,,B1,æµ”“,T154,953.9993,1006.9175,22.9668,
,,B2,√‚◊Û,T155,953.8486,1006.7771,22.911,
,,B2,√‚”“,T156,953.8485,1006.778,22.9107,
,65,A1,æµ◊Û,T157,954.4917,1006.9923,24.3773,
,,A1,æµ”“,T158,954.4924,1006.9928,24.3764,
,,A2,√‚◊Û,T159,954.4616,1007.0091,24.3106,
,,A2,√‚”“,T160,954.4616,1007.009,24.311,
,,B1,æµ◊Û,T161,954.0569,1006.9838,22.7878,
,,B1,æµ”“,T162,954.0578,1006.984,22.7876,
,,B2,√‚◊Û,T163,953.9158,1006.8529,22.6929,
,,B2,√‚”“,T164,953.916,1006.8522,22.6932,
,55,A1,æµ◊Û,T165,954.3851,1006.8708,24.2428,
,,A1,æµ”“,T166,954.386,1006.8714,24.2417,
,,B1,æµ◊Û,T167,954.1354,1007.0728,22.6265,
,,B1,æµ”“,T168,954.1361,1007.0734,22.6259,
,,B2,√‚◊Û,T169,954.0076,1006.957,22.5019,
,,B2,√‚”“,T170,954.0076,1006.9566,22.5022,
,45,B1,æµ◊Û,T172,954.2311,1007.1818,22.488,
,,B1,æµ”“,T173,954.2316,1007.182,22.488,
,,B2,√‚◊Û,T174,954.1184,1007.0859,22.3353,
,,B2,√‚”“,T175,954.1187,1007.0849,22.335,
,35,B1,æµ◊Û,T176,954.2455,1007.2331,22.2014,
,,B1,æµ”“,T177,954.2457,1007.2322,22.201,
240,25,A1,æµ◊Û,T178,953.1132,1006.6477,23.703,
,,A1,æµ”“,T179,953.1147,1006.6481,23.703,
,,A2,√‚◊Û,T180,953.136,1006.6787,23.6377,
,,A2,√‚”“,T181,953.1362,1006.6785,23.6371,
,15,A1,æµ◊Û,T182,953.0778,1006.6354,23.4961,
,,A1,æµ”“,T183,953.0791,1006.6358,23.496,
,,A2,√‚◊Û,T184,953.1124,1006.6675,23.4373,
,,A2,√‚”“,T185,953.1126,1006.6678,23.4377,
,5,A1,æµ◊Û,T186,953.0766,1006.6349,23.2862,
,,A1,æµ”“,T187,953.0785,1006.6355,23.2853,
,,A2,√‚◊Û,T188,953.1202,1006.6679,23.2345,
,,A2,√‚”“,T189,953.1208,1006.6669,23.2351,
,35,A1,æµ◊Û,T190,953.1827,1006.6709,23.9009,
,,A1,æµ”“,T191,953.1838,1006.6715,23.9004,
,,A2,√‚◊Û,T192,953.1944,1006.6984,23.8319,
,,A2,√‚”“,T193,953.195,1006.6986,23.8319,
,45,A1,æµ◊Û,T194,953.283,1006.7056,24.082,
,,A1,æµ”“,T195,953.2839,1006.7057,24.083,
,,A2,√‚◊Û,T196,953.2832,1006.7309,24.0117,
,,A2,√‚”“,T197,953.2835,1006.7302,24.0113,
,55,A1,æµ◊Û,T198,953.4113,1006.7492,24.2421,
,,A1,æµ”“,T199,953.4135,1006.7497,24.2424,
,,A2,√‚◊Û,T200,953.3979,1006.7729,24.1729,
,,A2,√‚”“,T201,953.399,1006.7727,24.1722,
,,B1,æµ◊Û,T202,953.2958,1007.0492,22.6261,
,,B1,æµ”“,T203,953.297,1007.0494,22.6263,
,,B2,√‚◊Û,T204,953.1278,1007.0135,22.5007,
,,B2,√‚”“,T205,953.1271,1007.0123,22.5004,
,65,A1,æµ◊Û,T206,953.5649,1006.8012,24.3775,
,,A1,æµ”“,T207,953.5666,1006.8016,24.3767,
,,A2,√‚◊Û,T208,953.5407,1006.8209,24.3091,
,,A2,√‚”“,T209,953.541,1006.8203,24.3091,
,,B1,æµ◊Û,T210,953.1834,1007.0109,22.7881,
,,B1,æµ”“,T211,953.1849,1007.0114,22.7878,
,,B2,√‚◊Û,T212,952.997,1006.9688,22.6949,
,,B2,√‚”“,T213,952.9975,1006.9687,22.695,
,75,A1,æµ◊Û,T214,953.7379,1006.86,24.4812,
,,A1,æµ”“,T215,953.7399,1006.8606,24.4811,
,,A2,√‚◊Û,T216,953.7018,1006.8764,24.4163,
,,A2,√‚”“,T217,953.7018,1006.8778,24.4164,
,,B1,æµ◊Û,T218,953.0995,1006.9824,22.9674,
,,B1,æµ”“,T219,953.1007,1006.983,22.9675,
,,B2,√‚◊Û,T220,952.9009,1006.9355,22.9089,
,,B2,√‚”“,T221,952.9,1006.9355,22.9092,
,85,A1,æµ◊Û,T222,953.9258,1006.9239,24.5523,
,,A1,æµ”“,T223,953.9271,1006.9244,24.5517,
,,A2,√‚◊Û,T224,953.8792,1006.9365,24.4937,
,,A2,√‚”“,T225,953.8788,1006.937,24.4939,
,,B1,æµ◊Û,T226,953.0466,1006.9644,23.1592,
,,B1,æµ”“,T227,953.0475,1006.9647,23.1594,
,,B2,√‚◊Û,T228,952.8409,1006.9153,23.1376,
,,B2,√‚”“,T229,952.8409,1006.9154,23.138,
270,85,A1,æµ◊Û,T230,953.04,1007.0247,24.5516,
,,A1,æµ”“,T231,953.0419,1007.0256,24.5529,
,,A2,√‚◊Û,T232,953.0068,1007.0451,24.4911,
,,A2,√‚”“,T233,953.0072,1007.045,24.4914,
,,B1,æµ◊Û,T234,952.2996,1007.4998,23.1596,
,,B1,æµ”“,T235,952.3013,1007.5003,23.1592,
,,B2,√‚◊Û,T236,952.0971,1007.5577,23.1381,
,,B2,√‚”“,T237,952.0962,1007.5579,23.138,
,75,A1,æµ◊Û,T238,952.8458,1007.0631,24.4812,
,,A1,æµ”“,T239,952.848,1007.064,24.4813,
,,A2,√‚◊Û,T240,952.8206,1007.0874,24.4156,
,,A2,√‚”“,T241,952.8212,1007.0853,24.4148,
,,B1,æµ◊Û,T242,952.3551,1007.4887,22.9671,
,,B1,æµ”“,T243,952.3567,1007.4889,22.9679,
,,B2,√‚◊Û,T244,952.1605,1007.5463,22.9094,
,,B2,√‚”“,T245,952.1606,1007.5464,22.9099,
,65,A1,æµ◊Û,T246,952.667,1007.0988,24.3767,
,,A1,æµ”“,T247,952.6686,1007.0993,24.3769,
,,A2,√‚◊Û,T248,952.6539,1007.1227,24.3079,
,,A2,√‚”“,T249,952.654,1007.1225,24.3077,
,,B1,æµ◊Û,T250,952.4419,1007.4714,22.7875,
,,B1,æµ”“,T251,952.4433,1007.4716,22.7882,
,,B2,√‚◊Û,T252,952.2599,1007.527,22.6952,
,,B2,√‚”“,T253,952.2593,1007.5278,22.6949,
,55,A1,æµ◊Û,T246,952.5085,1007.1305,24.2426,
,,A1,æµ”“,T247,952.5099,1007.1309,24.2423,
,,A2,√‚◊Û,T248,952.5056,1007.1563,24.171,
,,A2,√‚”“,T249,952.5054,1007.1556,24.1718,
,45,A1,æµ◊Û,T258,952.375,1007.1568,24.0826,
,,A1,æµ”“,T259,952.3768,1007.1576,24.0818,
,,A2,√‚◊Û,T260,952.3834,1007.1818,24.0127,
,,A2,√‚”“,T261,952.3844,1007.1803,24.0124,
,35,A1,æµ◊Û,T262,952.2709,1007.1774,23.9009,
,,A1,æµ”“,T263,952.2721,1007.1782,23.9001,
,,A2,√‚◊Û,T264,952.2913,1007.2041,23.8326,
,,A2,√‚”“,T265,952.2906,1007.2071,23.8334,
,25,A1,æµ◊Û,T266,952.1994,1007.1916,23.7035,
,,A1,æµ”“,T267,952.2011,1007.1923,23.7029,
,,A2,√‚◊Û,T268,952.2299,1007.2234,23.642,
,,A2,√‚”“,T269,952.2294,1007.2236,23.6409,
,15,A1,æµ◊Û,T270,952.1629,1007.1987,23.4962,
,,A1,æµ”“,T271,952.1645,1007.1991,23.496,
,,A2,√‚◊Û,T272,952.204,1007.2322,23.4421,
,,A2,√‚”“,T273,952.2043,1007.2311,23.4419,
,5,A1,æµ◊Û,T274,952.1619,1007.1988,23.2862,
,,A1,æµ”“,T275,952.1635,1007.1997,23.285,
,,A2,√‚◊Û,T276,952.2113,1007.2321,23.2382,
,,A2,√‚”“,T277,952.2111,1007.2319,23.2375,
300,5,A1,æµ◊Û,T278,951.6348,1008.1418,23.2846,
,,A1,æµ”“,T279,951.6358,1008.1423,23.2842,
,,A2,√‚◊Û,T280,951.6898,1008.1721,23.2429,
,,A2,√‚”“,T281,951.6891,1008.1735,23.2431,
,35,A1,æµ◊Û,T282,951.7322,1008.0714,23.8997,
,,A1,æµ”“,T283,951.7343,1008.0722,23.8998,
,45,A2,√‚◊Û,T284,951.8318,1008.0148,24.0119,
,,A2,√‚”“,T285,951.8315,1008.0159,24.0121,
,55,A2,√‚◊Û,T286,951.9257,1007.933,24.1719,
,,A2,√‚”“,T287,951.9261,1007.9327,24.1714,
,65,A2,√‚◊Û,T288,952.0379,1007.8338,24.3082,
,,A2,√‚”“,T289,952.0381,1007.8329,24.3079,
,75,A2,√‚◊Û,T290,952.1674,1007.7194,24.4143,
,,A2,√‚”“,T291,952.1677,1007.7184,24.4133,
,85,A2,√‚◊Û,T292,952.3063,1007.5995,24.4924,
,,A2,√‚”“,T293,952.3068,1007.5986,24.4914,
15,5,C1,æµ◊Û,T294,955.7203,1008.9468,23.0251,
,,C1,æµ”“,T295,955.7203,1008.9473,23.0238,
,,C2,√‚◊Û,T296,955.6809,1008.9113,23.2408,
,,C2,√‚”“,T297,955.6827,1008.9107,23.2401,
,15,C1,æµ◊Û,T298,955.7192,1008.9447,23.234,
,,C1,æµ”“,T299,955.7191,1008.9456,23.233,
,,C2,√‚◊Û,T300,955.6835,1008.9183,23.4416,
,,C2,√‚”“,T301,955.6853,1008.9179,23.4411,
,25,C1,æµ◊Û,T302,955.702,1008.91,23.4394,
,,C1,æµ”“,T303,955.7023,1008.9107,23.4391,
,,C2,√‚◊Û,T304,955.6711,1008.8939,23.6399,
,,C2,√‚”“,T305,955.6724,1008.8941,23.6391,
,35,C1,æµ◊Û,T306,955.6695,1008.8438,23.6352,
,,C1,æµ”“,T307,955.6694,1008.8447,23.6347,
,,C2,√‚◊Û,T308,955.6432,1008.8386,23.834,
,,C2,√‚”“,T309,955.6433,1008.839,23.8336,
,45,C1,æµ◊Û,T310,955.6225,1008.7484,23.8151,
,,C1,æµ”“,T311,955.6224,1008.7488,23.8147,
,,C2,√‚◊Û,T312,955.5958,1008.7556,24.0148,
,,C2,√‚”“,T313,955.5967,1008.7556,24.0147,
,,D1,æµ◊Û,T314,955.33,1008.8976,22.117,
,,D1,æµ”“,T315,955.3298,1008.8982,22.117,
,,D2,√‚◊Û,T316,955.323,1008.89,22.4552,
,,D2,√‚”“,T317,955.3147,1008.8918,22.458,
,55,C1,æµ◊Û,T318,955.5622,1008.6258,23.9739,
,,C1,æµ”“,T319,955.5621,1008.6264,23.9734,
,,C2,√‚◊Û,T320,955.5471,1008.6434,24.1709,
,,C2,√‚”“,T321,955.5461,1008.6434,24.171,
,,D1,æµ◊Û,T322,955.4001,1009.0405,22.303,
,,D1,æµ”“,T323,955.3998,1009.0402,22.3024,
,,D2,√‚◊Û,T324,955.3781,1009.0215,22.6395,
,,D2,√‚”“,T325,955.3807,1009.0211,22.6384,
,65,C1,æµ◊Û,T326,955.4906,1008.4804,24.1065,
,,C1,æµ”“,T327,955.4906,1008.4814,24.1061,
,,C2,√‚◊Û,T328,955.4798,1008.5102,24.3077,
,,C2,√‚”“,T329,955.4791,1008.5106,24.3077,
,,D1,æµ◊Û,T330,955.4546,1009.1511,22.5129,
,,D1,æµ”“,T331,955.4547,1009.1513,22.5129,
,,D2,√‚◊Û,T332,955.4426,1009.1198,22.839,
,,D2,√‚”“,T333,955.4374,1009.1211,22.841,
,75,C1,æµ◊Û,T334,955.4098,1008.3169,24.4793,
,,C1,æµ”“,T335,955.41,1008.3177,24.4789,
,,C2,√‚◊Û,T336,955.4035,1008.3591,24.4159,
,,C2,√‚”“,T337,955.4013,1008.3592,24.4167,
,,D1,æµ◊Û,T338,955.4925,1009.2276,23.0117,
,,D1,æµ”“,T339,955.4924,1009.2283,23.0112,
,,D2,√‚◊Û,T340,955.4839,1009.1864,23.0566,
,,D2,√‚”“,T341,955.4824,1009.1859,23.0567,
,85,C1,æµ◊Û,T342,955.3229,1008.1397,24.5489,
,,C1,æµ”“,T343,955.3226,1008.1408,24.5479,
,,C2,√‚◊Û,T344,955.317,1008.1915,24.4925,
,,C2,√‚”“,T345,955.3113,1008.1928,24.4942,
,,D1,æµ◊Û,T346,955.5122,1009.2674,23.2518,
,,D1,æµ”“,T347,955.5122,1009.2681,23.2508,
,,D2,√‚◊Û,T348,955.5,1009.2181,23.2865,
,,D2,√‚”“,T349,955.4996,1009.2181,23.2867,
45,75,C2,√‚◊Û,T350,955.0397,1007.5235,24.4149,
,,C2,√‚”“,T351,955.0404,1007.5236,24.4143,
135,85,A1,æµ◊Û,T352,955.2469,1009.3086,24.5542,
,,A1,æµ”“,T353,955.2468,1009.3095,24.5526,
,,A2,√‚◊Û,T354,955.2212,1009.2698,24.5044,
,,A2,√‚”“,T355,955.2235,1009.2696,24.5042,
,,B1,æµ◊Û,T356,955.4351,1008.4487,23.1614,
,,B1,æµ”“,T357,955.4354,1008.4508,23.1609,
,,B2,√‚◊Û,T358,955.5392,1008.2611,23.1383,
,,B2,√‚”“,T359,955.5407,1008.2611,23.138,
,75,A1,æµ◊Û,T360,955.3573,1009.1437,24.482,
