   count of succeed-fitted:  55
prism, yaw-pitch, countOfPoints, updated_xyz,,,updated_abc,,,updated_r, sigma,,,,,,,
A2,210_85,24,953.666,1008.62,24.499,-4.64948e-05,-0.00329647,0.999935,1.70112,0.00825882,0.0072964,0.0441714,0.0330353,0.0291864,0.250012,0.00381579,
B2,210_45,8,953.67,1008.62,22.3401,0.00198226,-0.00295167,0.999992,-1.60156,0.033594,0.0383038,0.128183,0.134375,0.153213,0.249998,0.0124935,
B2,210_55,10,953.673,1008.62,22.5052,0.00103271,-0.00242004,0.999994,1.70036,0.0248261,0.0169807,0.105686,0.0993043,0.0679218,0.249999,0.0091385,
B2,210_65,18,953.685,1008.61,22.7367,0.0117575,-0.0301132,0.977691,1.77698,0.0125795,0.00832269,0.0631339,0.0503165,0.0332398,0.255256,0.00489437,
B2,210_75,18,953.687,1008.62,22.9131,0.00183999,-0.00243556,0.999921,1.84853,0.012104,0.00720503,0.0610671,0.0484161,0.02882,0.250017,0.00446752,
B2,210_85,18,953.688,1008.62,23.1415,0.00183749,-0.0022484,0.999874,1.89207,0.0118862,0.00690121,0.0624774,0.0475449,0.0276046,0.25003,0.00436251,
C2,30_5,16,953.668,1008.62,23.2445,0.0022602,-0.00203715,0.999947,2.03066,0.00602777,0.0128165,0.0657822,0.024111,0.0512658,0.25001,0.00398803,
C2,30_15,16,953.669,1008.62,23.4456,0.00198149,-0.00203437,0.999954,2.0336,0.00597777,0.0127928,0.0656508,0.023911,0.0511711,0.250009,0.00396859,
C2,30_25,16,953.67,1008.62,23.6459,0.00238903,-0.0015689,0.999973,2.01731,0.00611192,0.0129438,0.065554,0.0244476,0.0517752,0.250004,0.00402704,
C2,30_35,16,953.671,1008.62,23.8377,0.00215913,-0.0029185,0.999984,1.98436,0.00800233,0.0111972,0.0666189,0.0320092,0.0447887,0.249999,0.00422958,
C2,60_45,14,953.669,1008.62,24.0176,0.00154696,-0.00320252,0.999993,1.93247,0.0104852,0.0115015,0.0736103,0.0419408,0.0460055,0.249997,0.00492783,
C2,60_55,16,953.67,1008.62,24.177,0.00297034,-0.00103647,0.999934,1.87465,0.00999745,0.00862952,0.0629349,0.0399898,0.0345181,0.250013,0.00447681,
C2,60_65,18,953.668,1008.62,24.3125,0.00184397,-0.00242618,0.999964,1.81025,0.00909293,0.0084582,0.0586025,0.0363717,0.0338329,0.250006,0.00447064,
C2,60_75,20,953.666,1008.62,24.4216,0.00190209,-0.00312881,0.999897,1.74925,0.0085136,0.00861094,0.0517556,0.0340545,0.0344441,0.250021,0.00422815,
C2,60_85,16,953.656,1008.62,24.4537,0.00201477,0.00417578,0.96483,1.70608,0.0147723,0.0149392,0.0812331,0.0589069,0.0596848,0.259964,0.00677143,
D2,90_45,8,953.667,1008.62,22.4599,0.00187511,-0.00400863,0.999987,-1.67591,0.0248529,0.0256373,0.140599,0.0994103,0.102544,0.249998,0.012515,
D2,60_55,14,953.665,1008.64,22.6416,0.00247165,-0.00286721,0.999978,1.7715,0.0113481,0.0156368,0.0746812,0.0453921,0.0625469,0.250001,0.00594938,
D2,60_65,18,953.672,1008.63,22.8457,0.00333251,-0.00134892,0.999973,1.83447,0.00743678,0.00958662,0.0568669,0.0297474,0.0383465,0.250002,0.00422448,
D2,60_75,20,953.678,1008.63,23.1171,-0.00547561,-0.0135854,0.909899,1.88757,0.0062969,0.0112701,0.0638808,0.0251514,0.045082,0.275003,0.00404288,
D2,60_85,20,953.675,1008.63,23.2964,0.00407637,-0.000964571,0.999933,1.91173,0.00607278,0.00864249,0.0531904,0.0242917,0.0345699,0.250011,0.00363828,
